20251102 194200;0.877800;0.877800;0.877750;0.877750;0
20251102 194300;0.877750;0.877790;0.877750;0.877760;0
20251102 194400;0.877750;0.877760;0.877730;0.877740;0
20251102 194500;0.877750;0.877760;0.877530;0.877550;0
20251102 194600;0.877530;0.877570;0.877500;0.877540;0
20251102 194700;0.877560;0.877600;0.877520;0.877540;0
20251102 194800;0.877520;0.877520;0.877450;0.877480;0
20251102 194900;0.877490;0.877540;0.877490;0.877520;0
20251102 195000;0.877540;0.877560;0.877490;0.877500;0
20251102 195100;0.877480;0.877490;0.877480;0.877490;0
20251102 195200;0.877480;0.877480;0.877440;0.877440;0
20251102 195300;0.877450;0.877450;0.877430;0.877440;0
20251102 195400;0.877460;0.877460;0.877420;0.877420;0
20251102 195500;0.877410;0.877490;0.877410;0.877470;0
20251102 195600;0.877480;0.877510;0.877460;0.877500;0
20251102 195700;0.877480;0.877530;0.877480;0.877500;0
20251102 195800;0.877480;0.877490;0.877460;0.877460;0
20251102 195900;0.877450;0.877470;0.877420;0.877420;0
20251102 200000;0.877450;0.877530;0.877410;0.877520;0
20251102 200100;0.877520;0.877540;0.877480;0.877520;0
20251102 200200;0.877500;0.877510;0.877440;0.877440;0
20251102 200300;0.877430;0.877440;0.877420;0.877420;0
20251102 200400;0.877420;0.877420;0.877370;0.877390;0
20251102 200500;0.877380;0.877440;0.877370;0.877400;0
20251102 200600;0.877400;0.877410;0.877360;0.877370;0
20251102 200700;0.877380;0.877390;0.877350;0.877380;0
20251102 200800;0.877390;0.877390;0.877300;0.877320;0
20251102 200900;0.877320;0.877340;0.877290;0.877300;0
20251102 201000;0.877310;0.877360;0.877310;0.877340;0
20251102 201100;0.877370;0.877420;0.877370;0.877390;0
20251102 201200;0.877410;0.877420;0.877390;0.877420;0
20251102 201300;0.877440;0.877470;0.877410;0.877450;0
20251102 201400;0.877470;0.877510;0.877430;0.877430;0
20251102 201500;0.877430;0.877530;0.877430;0.877510;0
20251102 201600;0.877520;0.877530;0.877510;0.877510;0
20251102 201700;0.877510;0.877520;0.877460;0.877490;0
20251102 201800;0.877500;0.877540;0.877500;0.877520;0
20251102 201900;0.877510;0.877550;0.877500;0.877510;0
20251102 202000;0.877520;0.877530;0.877500;0.877500;0
20251102 202100;0.877490;0.877540;0.877470;0.877540;0
20251102 202200;0.877510;0.877540;0.877510;0.877540;0
20251102 202300;0.877540;0.877560;0.877540;0.877540;0
20251102 202400;0.877560;0.877600;0.877550;0.877560;0
20251102 202500;0.877550;0.877560;0.877520;0.877560;0
20251102 202600;0.877540;0.877550;0.877530;0.877550;0
20251102 202700;0.877540;0.877540;0.877520;0.877520;0
20251102 202800;0.877530;0.877530;0.877510;0.877520;0
20251102 202900;0.877520;0.877540;0.877510;0.877520;0
